run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AL,city_state,"Birmingham, AL",success,8631,50,38,5,0,5,max_pages,"Design Build Firms Birmingham, AL",200,,16229018cdb35064fae6ce48f655db0dedb287c2
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AL,raw_zip,35204,success,3005,10,2,2,0,2,empty_page,Design Build Firms 35204,200,,2ab5cf87aba781dc1c161ca5db0994c47b515cb5
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AL,raw_zip,35205,success,5229,20,7,3,0,3,empty_page,Design Build Firms 35205,200,,687717ab65a23fdba1b77b0401290cb9c3e561d8
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AL,raw_zip,35206,success,3002,11,3,2,0,2,short_page,Design Build Firms 35206,200,,ad704c7a0ed3e45c149f21dab306646e87924eca
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AL,raw_zip,35209,success,6102,30,15,4,0,4,empty_page,Design Build Firms 35209,200,,bebeecb32553af026a1caf5c66eb07324d283d6d
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AL,raw_zip,35211,success,7334,33,15,4,0,4,short_page,Design Build Firms 35211,200,,15bc4d4603b2e81861b5b50f815aa7a52d9fc3b7
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,city_state,"Phoenix, AZ",success,2595,10,10,2,0,2,empty_page,"Design Build Firms Phoenix, AZ",200,,4413c0f3fa14cc1cf0a4ef1d1b38b9cacf92db16
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85001,success,3019,16,14,2,0,2,short_page,Design Build Firms 85001,200,,050f29314638d59883a68b2ba39fb0085a1570b4
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85002,success,1103,5,4,1,0,1,short_page,Design Build Firms 85002,200,,7984dc24c9dd6b58a263a41d0c1a21ed452c535a
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85003,success,5802,20,13,3,0,3,empty_page,Design Build Firms 85003,200,,c897e1b33b66b5d8df252d19fcbd197600dc4c19
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85005,success,2779,11,6,2,0,2,short_page,Design Build Firms 85005,200,,fd2b4ff1049389a4504648dc84c71c068245cc6a
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85006,success,2211,1,0,1,0,1,short_page,Design Build Firms 85006,200,,8cb3a0d600a5c9524a3bd3472ac999785b8db9cc
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85007,success,3007,10,7,2,0,2,empty_page,Design Build Firms 85007,200,,0f8a568be7513e3ceff5b8de595f9d29d2c7fbe6
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85008,success,2249,6,2,1,0,1,short_page,Design Build Firms 85008,200,,3aaef7751a1232e9db1863a9857667a4e619b1f0
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85009,success,3605,10,4,2,0,2,empty_page,Design Build Firms 85009,200,,90244ec89d5092b76746395934034ea810c7f71d
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85010,success,4130,8,8,1,0,1,short_page,Design Build Firms 85010,200,,75a26c7387530c5ea9832325f60125828f474d5f
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85011,success,1034,0,0,1,0,1,empty_page,Design Build Firms 85011,200,,ca8dcc165efee161c743f10389e17905a7de9127
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,AZ,raw_zip,85012,success,3009,20,10,2,0,2,query_budget_exhausted,Design Build Firms 85012,200,,363c631bd47f006aa28818e93631e1192b198e6c
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CA,city_state,"San Diego, CA",success,12515,50,34,5,0,5,max_pages,"Design Build Firms San Diego, CA",200,,54e7fae93e6706d3979726ececbabc93ef41bd46
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CA,raw_zip,92101,success,4401,10,2,2,0,2,empty_page,Design Build Firms 92101,200,,914ef12cce7fbadeedd3b4ab677e24814e387d83
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CA,raw_zip,92102,success,6889,50,28,5,0,5,max_pages,Design Build Firms 92102,200,,2e202a151838c9d3d6feff218b22cf8be4f39239
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CA,raw_zip,92103,success,9014,40,23,5,0,5,empty_page,Design Build Firms 92103,200,,31c03a26e477cfeef2e3707bdf50d62b43856667
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CA,raw_zip,92104,success,6131,30,10,3,0,3,query_budget_exhausted,Design Build Firms 92104,200,,81a2e7888ca1924ff238cc4b6a7fe47929cd861a
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CO,city_state,"Denver, CO",success,6019,30,21,4,0,4,empty_page,"Design Build Firms Denver, CO",200,,eb60f6d6bc5193d99180296b40cd66160bcaedc7
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CO,raw_zip,80201,success,2384,14,10,2,0,2,short_page,Design Build Firms 80201,200,,a266b4cb9ee29d8750b3d2ece50632cf0d1dd5f0
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CO,raw_zip,80203,success,6982,36,20,4,0,4,short_page,Design Build Firms 80203,200,,763138889803634fc2ef7322450e6cf016ba5d6c
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CO,raw_zip,80204,success,3608,27,13,3,0,3,short_page,Design Build Firms 80204,200,,3238d98b023a417f4b13b54e000192b8bec4fc06
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CO,raw_zip,80205,success,4560,20,17,3,0,3,no_new_businesses,Design Build Firms 80205,200,,97e203a8f7226fc2d0d7b2ce6321610b427ef02c
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CO,raw_zip,80206,success,2405,0,0,1,0,1,empty_page,Design Build Firms 80206,200,,8229aa2dd2844e761112642cfa3692a2883b9c3f
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CO,raw_zip,80207,success,4282,20,15,3,0,3,no_new_businesses,Design Build Firms 80207,200,,a00df8d85b00120bfa6e0c0b43bd214f90897424
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CT,city_state,"Bridgeport, CT",success,9284,50,39,5,0,5,max_pages,"Design Build Firms Bridgeport, CT",200,,1b10f4a4e4a93d9f15bfaa539bfa04b6064be287
20260625T063149Z_hybrid_expand_5cb98958,hybrid_expand,design_build_firms,CT,raw_zip,6601,success,1073,8,5,1,0,1,short_page,Design Build Firms 6601,200,,c37531e8c264fde9b8973c3f467be5c4c3ff2562
