run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27014, Cooleemee",success,1450,0,0,1,0,1,empty_page,"Architect, 27014, Cooleemee, NC, US",200,,c8a4831099abb07833b744a801161eeab156a5e6
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27010, Bethania",success,1445,3,3,1,0,1,short_page,"Architect, 27010, Bethania, NC, US",200,,56fa7343c310f8ba5a59dfccc0efc455fff39748
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27011, Boonville",success,1472,1,1,1,0,1,short_page,"Architect, 27011, Boonville, NC, US",200,,06ed737c1ad339561715bc08e2b2e378b1c64da6
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27006, Advance",success,1474,9,7,1,0,1,short_page,"Architect, 27006, Advance, NC, US",200,,60b44ddd080197a6f3b6e9c70f92c5a3a60c1795
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27047, Siloam",success,1545,0,0,1,0,1,empty_page,"Architect, 27047, Siloam, NC, US",200,,5095b70369454ff2db1f109964d03604790f0fca
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27019, Germanton",success,1573,0,0,1,0,1,empty_page,"Architect, 27019, Germanton, NC, US",200,,0355bd54a7e92cb3ecf72d0b234e5e5362fda7bd
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27030, Mount Airy",success,1590,2,2,1,0,1,short_page,"Architect, 27030, Mount Airy, NC, US",200,,1817fe53bc1596d6789cf88b373eef09e01f6ba7
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27007, Ararat",success,1647,1,0,1,0,1,short_page,"Architect, 27007, Ararat, NC, US",200,,0318e422715919aba48da63246b4d92bf15e415e
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27098, Rural Hall",success,1675,8,4,1,0,1,short_page,"Architect, 27098, Rural Hall, NC, US",200,,57413f8963227dfb735282ab070bb1e0a8255aac
20260702T131416Z_raw_zip_max_b33c00ed,raw_zip_max,architect,NC,raw_zip,"27043, Pinnacle",success,1741,0,0,1,0,1,empty_page,"Architect, 27043, Pinnacle, NC, US",200,,64fafd0f5c8848792f333ca4fc28f6773cf4b795
