run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90002, Los Angeles",success,6866,20,13,3,0,3,repeated_page,"Architect, 90002, Los Angeles, CA, US",200,,5d06fd968b0bd001eaea191bf593f3fce3e8be64
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90001, Los Angeles",success,7321,30,11,4,0,4,empty_page,"Architect, 90001, Los Angeles, CA, US",200,,00727d39f8f1041fde81b35e1eba0ebbf8f8ac45
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90022, Los Angeles",success,7541,30,16,4,0,4,no_new_businesses,"Architect, 90022, Los Angeles, CA, US",200,,7772fa1c9d746e6177a4da6d4e486e1303cca7b2
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90038, Los Angeles",success,7547,20,19,3,0,3,repeated_page,"Architect, 90038, Los Angeles, CA, US",200,,115e4ed6b1f4da2edae0398ae7cda81aeb936b8e
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90008, Los Angeles",success,8917,40,27,5,0,5,no_new_businesses,"Architect, 90008, Los Angeles, CA, US",200,,3be1f353a3ee4c8362bdb18b6c3af43fca2a9c64
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90029, Los Angeles",success,9715,40,14,5,0,5,repeated_page,"Architect, 90029, Los Angeles, CA, US",200,,c3a5f39d337343ade5a9668d7561336e91c56f55
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90026, Los Angeles",success,10731,40,27,5,0,5,no_new_businesses,"Architect, 90026, Los Angeles, CA, US",200,,7e61f08d80ce05b77c052a74f6ae5176e4be1d3a
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90007, Los Angeles",success,13248,70,38,8,0,8,empty_page,"Architect, 90007, Los Angeles, CA, US",200,,f98a90fbe3fa595d4ccb2d199f3f5150bd5564fd
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90027, Los Angeles",success,13294,60,14,7,0,7,repeated_page,"Architect, 90027, Los Angeles, CA, US",200,,7a02718dbd6a75259b46e1d59cf66e2b4625855b
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90032, Los Angeles",success,14512,70,40,8,0,8,empty_page,"Architect, 90032, Los Angeles, CA, US",200,,c823d3b932fdd8074865c4df519ec36b61d3ef9b
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90018, Los Angeles",success,15715,80,35,9,0,9,no_new_businesses,"Architect, 90018, Los Angeles, CA, US",200,,5d6463e1706952445633d7467efa946d20880463
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90028, Los Angeles",success,16656,90,34,10,0,10,empty_page,"Architect, 90028, Los Angeles, CA, US",200,,2ded5364eee108e6b1132855a8669a31ecd90022
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90035, Los Angeles",success,17251,90,49,10,0,10,no_new_businesses,"Architect, 90035, Los Angeles, CA, US",200,,c76a0a8f7832d21e8845bea76b6d137b1892da73
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90010, Los Angeles",success,17533,90,42,10,0,10,empty_page,"Architect, 90010, Los Angeles, CA, US",200,,45887e7c4457c7b8e9093a4c354d2b719a021540
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90033, Los Angeles",success,18748,109,54,11,0,11,short_page,"Architect, 90033, Los Angeles, CA, US",200,,e1719e00ce7ac0428c347e68235bf9914df9c600
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90049, Los Angeles",success,8084,40,21,5,0,5,repeated_page,"Architect, 90049, Los Angeles, CA, US",200,,7b7c25981b33a2a805c0ea190f1c09cf7fcd28ed
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90045, Los Angeles",success,11288,70,34,8,0,8,empty_page,"Architect, 90045, Los Angeles, CA, US",200,,55ce630b1c535a8f164219c454a83c5a1dfb2751
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90059, Los Angeles",success,5818,30,10,4,0,4,empty_page,"Architect, 90059, Los Angeles, CA, US",200,,8ea80269536b559417ae944e4464be56759072ea
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90011, Los Angeles",success,19255,110,30,12,0,12,empty_page,"Architect, 90011, Los Angeles, CA, US",200,,00b1a44cca857358d416a29d1ddbc15bada6e34c
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90005, Los Angeles",success,19467,94,25,10,0,10,short_page,"Architect, 90005, Los Angeles, CA, US",200,,3b1cc722999921274a10415d64da11d367b445e3
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90062, Los Angeles",success,5923,30,5,4,0,4,empty_page,"Architect, 90062, Los Angeles, CA, US",200,,d9317b696e05af7e31e693eb17340407a0e3fe38
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90006, Los Angeles",success,20545,110,22,12,0,12,empty_page,"Architect, 90006, Los Angeles, CA, US",200,,2fc7996511243b444e3cee47108669a5d05975a2
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90020, Los Angeles",success,21202,104,11,11,0,11,short_page,"Architect, 90020, Los Angeles, CA, US",200,,7157da2fefe370889ace94a54f0478c8ebb04d1e
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90080, Los Angeles",success,2318,13,0,2,0,2,short_page,"Architect, 90080, Los Angeles, CA, US",200,,107279c23ebe1144bb95047585580bddfc4c5e97
20260702T133341Z_raw_zip_max_b4d8e2f6,raw_zip_max,architect,CA,raw_zip,"90081, Los Angeles",success,2246,10,1,2,0,2,empty_page,"Architect, 90081, Los Angeles, CA, US",200,,759b4488271eaaaec26dd7ff56cc0e2b7a318cbd
