run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35042, Centreville",success,1819,0,0,1,0,1,empty_page,"Architect, 35042, Centreville, AL, US",200,,e1d053cc4b3ee891d609a6e4442f24eaf26a6ed8
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35016, Arab",success,1862,3,2,1,0,1,short_page,"Architect, 35016, Arab, AL, US",200,,ce68790332898a80ee614270eccaba8bdec16bd2
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35049, Cleveland",success,1969,0,0,1,0,1,empty_page,"Architect, 35049, Cleveland, AL, US",200,,585a3eed4cdd7f909fa5d60da36e4f7a1c9511f5
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35011, Alexander City",success,2003,0,0,1,0,1,empty_page,"Architect, 35011, Alexander City, AL, US",200,,edbaf00604c4f42790f6b5541869c666b6985746
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35021, Bessemer",success,2178,1,0,1,0,1,short_page,"Architect, 35021, Bessemer, AL, US",200,,7f1e3438072be787de3b37a3716ab67f6289fa43
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35057, Cullman",success,2160,7,0,1,0,1,short_page,"Architect, 35057, Cullman, AL, US",200,,e72d4401ccce1b968a6709eebeb961c58d1ad2b6
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35056, Cullman",success,2200,2,0,1,0,1,short_page,"Architect, 35056, Cullman, AL, US",200,,58d7145648b99711d0a39065e00570ef4ca47427
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35080, Helena",success,2245,5,1,1,0,1,short_page,"Architect, 35080, Helena, AL, US",200,,c1a129ea1adf675640bf304f65d92c4ce1944496
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35013, Allgood",success,2256,0,0,1,0,1,empty_page,"Architect, 35013, Allgood, AL, US",200,,a487121c3a7ec92bd2662f898d4b5038b4bbd47e
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35054, Cropwell",success,2261,3,1,1,0,1,short_page,"Architect, 35054, Cropwell, AL, US",200,,76f4fcf02ea13d23513d46bb0babb73dfabc8260
20260717T073357Z_raw_zip_max_39090b24,raw_zip_max,architect,AL,raw_zip,"35058, Cullman",success,2295,3,0,1,0,1,short_page,"Architect, 35058, Cullman, AL, US",200,,7481314c9167e19d7e2304b3d49dd7fe40967328
