run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19943, Felton",success,1043,7,4,1,0,1,short_page,"Architect, 19943, Felton, DE, US",200,,b2f7dd6ad3be568f4696141c45a04c182465fea5
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19953, Hartly",success,1302,5,0,1,0,1,short_page,"Architect, 19953, Hartly, DE, US",200,,874cefe2cb2df321ff4f413d0e1aeecd648de859
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19707, Hockessin",success,1414,7,1,1,0,1,short_page,"Architect, 19707, Hockessin, DE, US",200,,858cf72f974737f54d1a4bed3c2e23b3059984d1
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19717, Newark",success,1444,7,1,1,0,1,short_page,"Architect, 19717, Newark, DE, US",200,,968dbd3d568ffec431af31342aa3b720e43cb53e
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19934, Camden Wyoming",success,1418,2,0,1,0,1,short_page,"Architect, 19934, Camden Wyoming, DE, US",200,,f8b98bfd4677f2cfa551653ff9cef2538d247ee0
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19702, Bear",success,1427,8,3,1,0,1,short_page,"Architect, 19702, Bear, DE, US",200,,e543f25550d28bee4a8678f903f264dde2b46cbc
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19903, Dover",success,1530,4,1,1,0,1,short_page,"Architect, 19903, Dover, DE, US",200,,a0f2a9705f81f33a42135e071f6a870247845eec
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19709, Middletown",success,1566,8,3,1,0,1,short_page,"Architect, 19709, Middletown, DE, US",200,,eb48952c7f2de45a0c57cea756672df24897471c
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19938, Clayton",success,1587,1,0,1,0,1,short_page,"Architect, 19938, Clayton, DE, US",200,,8c41cd72e46ba98502af944195cb29ab21396fdd
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19715, Newark",success,1780,2,0,1,0,1,short_page,"Architect, 19715, Newark, DE, US",200,,ae86f441e64ce23cf7d4318bbb0df1e13e9778ff
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19954, Houston",success,1984,8,0,1,0,1,short_page,"Architect, 19954, Houston, DE, US",200,,f9c6d9d9191b7740f819ebd6474fb4b7cc8d15ed
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19963, Milford",success,1006,3,0,1,0,1,short_page,"Architect, 19963, Milford, DE, US",200,,c9dc7163db2e60542bcf260785010ae02f33b0ec
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19955, Kenton",success,1373,7,0,1,0,1,short_page,"Architect, 19955, Kenton, DE, US",200,,9ca5815a9f3b9ac214e4592d0b58a3a46d9014ca
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19960, Lincoln",success,1046,1,0,1,0,1,short_page,"Architect, 19960, Lincoln, DE, US",200,,e4bca25f2e046d4d19a4fd9c74fbc0831ea47feb
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19968, Milton",success,1044,1,1,1,0,1,short_page,"Architect, 19968, Milton, DE, US",200,,20c885fa02674cd0ef7f9e710c2a9a77bc5af905
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19967, Bethany Beach",success,1105,9,4,1,0,1,short_page,"Architect, 19967, Bethany Beach, DE, US",200,,48d1e715559c0ab31c1a27ace4250adbb0fb6979
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19952, Harrington",success,2672,10,3,2,0,2,empty_page,"Architect, 19952, Harrington, DE, US",200,,da5b8d487ee0972432d81dfe401b2a4ea8e2fd82
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19706, Delaware City",success,2799,10,0,2,0,2,empty_page,"Architect, 19706, Delaware City, DE, US",200,,a9bc02b4962041d0f9bacb5bfc53f9d1e709d5be
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19940, Delmar",success,2833,10,1,2,0,2,empty_page,"Architect, 19940, Delmar, DE, US",200,,a97a3ac1c79af59bcd9519c943bed7bd98e2009e
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19939, Dagsboro",success,2844,10,3,2,0,2,empty_page,"Architect, 19939, Dagsboro, DE, US",200,,5b4eebdcdf40bd8a8725d8e56b5a2ac48cce7f71
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19971, Rehoboth Beach",success,1110,5,2,1,0,1,short_page,"Architect, 19971, Rehoboth Beach, DE, US",200,,ad358eb820690c17888c054689e6f9108518b082
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19806, Wilmington",success,2902,17,0,2,0,2,short_page,"Architect, 19806, Wilmington, DE, US",200,,321bc97dfd8b520fc38c50ec27cb1979c5989add
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19899, Wilmington",success,3086,10,0,2,0,2,empty_page,"Architect, 19899, Wilmington, DE, US",200,,9a7afc2c56bec71aa79472c0154a68e2ce957c36
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19945, Frankford",success,3226,10,3,2,0,2,empty_page,"Architect, 19945, Frankford, DE, US",200,,7413453b1b1f4091bebf43ab6b315c7975c205c9
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19710, Montchanin",success,3346,10,0,2,0,2,empty_page,"Architect, 19710, Montchanin, DE, US",200,,aff538033b8d16cec96a5743e677f9005e2f5cdc
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19701, Bear",success,3383,1,0,1,0,1,short_page,"Architect, 19701, Bear, DE, US",200,,ba8501b31cec8ce83e23bbe1602edf46e9a20fd7
20260717T073646Z_raw_zip_max_9ab888f2,raw_zip_max,architect,DE,raw_zip,"19975, Selbyville",success,948,6,1,1,0,1,short_page,"Architect, 19975, Selbyville, DE, US",200,,f75b7b7e5c81f5d5ddc2688b660015ca59a56b7f
