run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60034, Hebron",success,873,1,0,1,0,1,short_page,"Architect, 60034, Hebron, IL, US",200,,a484d900770f9b4bc88a8eee549c98ea8db1b8f4
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60041, Ingleside",success,1177,9,1,1,0,1,short_page,"Architect, 60041, Ingleside, IL, US",200,,e5c7c6bc0a048799660e3023cdedb90c53196099
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60040, Highwood",success,1310,4,2,1,0,1,short_page,"Architect, 60040, Highwood, IL, US",200,,d82d3d8b3f977be9684bcacc4cb20e3fbd6585cf
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60072, Ringwood",success,1319,1,0,1,0,1,short_page,"Architect, 60072, Ringwood, IL, US",200,,475d4e604aa1a59cbf011261d6f2ab2b10f28310
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60099, Zion",success,1419,2,1,1,0,1,short_page,"Architect, 60099, Zion, IL, US",200,,1574416bb13c743d0b735cdaa8d02aa87db78ad3
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60043, Kenilworth",success,1421,2,1,1,0,1,short_page,"Architect, 60043, Kenilworth, IL, US",200,,82f6a234e862744708be5e9b4530361702a93d32
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60046, Lake Villa",success,1549,3,1,1,0,1,short_page,"Architect, 60046, Lake Villa, IL, US",200,,9902738da84c6301d05c06dfce8cd7dfdf455826
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60095, Palatine",success,1540,6,0,1,0,1,short_page,"Architect, 60095, Palatine, IL, US",200,,c59161c41b9ab9076c353225d259cc7e2b3f121f
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60094, Palatine",success,1701,6,0,1,0,1,short_page,"Architect, 60094, Palatine, IL, US",200,,df358964bd589910dfdfa99853a5f25b795da871
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60078, Palatine",success,1820,4,0,1,0,1,short_page,"Architect, 60078, Palatine, IL, US",200,,e71ad95fb46a1b3023c93f22b0fef794dc337a65
20260717T073653Z_raw_zip_max_8f59bc28,raw_zip_max,architect,IL,raw_zip,"60071, Richmond",success,1822,3,1,1,0,1,short_page,"Architect, 60071, Richmond, IL, US",200,,243f29b61d60f5dc6acbed97d06d511c41074aa4
