run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"03905, Kittery Point",success,1086,7,3,1,0,1,short_page,"Architect, 03905, Kittery Point, ME, US",200,,5feb8bfe015d7df1749910a928169777c0755e26
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04016, Center Lovell",success,1139,0,0,1,0,1,empty_page,"Architect, 04016, Center Lovell, ME, US",200,,c1b9dc7fb2fd2215f871fd7f98a15468d73c4172
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"03906, North Berwick",success,1277,3,0,1,0,1,short_page,"Architect, 03906, North Berwick, ME, US",200,,dfc666cd8405854819acf352ecc1050d28f58ec1
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04014, Kennebunkport",success,1274,9,1,1,0,1,short_page,"Architect, 04014, Kennebunkport, ME, US",200,,b345a44803a4ffa9e91ea238f04c591acda8293d
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"03911, York Harbor",success,1280,5,1,1,0,1,short_page,"Architect, 03911, York Harbor, ME, US",200,,8f1c0576068e520f4c15412947be5431796df657
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04004, Bar Mills",success,1278,3,0,1,0,1,short_page,"Architect, 04004, Bar Mills, ME, US",200,,71ba85b3e0badb80e185ad7738c88129c6db016b
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04006, Biddeford Pool",success,1311,2,0,1,0,1,short_page,"Architect, 04006, Biddeford Pool, ME, US",200,,21de4c3efe9fec17dca008f8e70a087cbe31ef34
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04001, Acton",success,1354,3,0,1,0,1,short_page,"Architect, 04001, Acton, ME, US",200,,dca6171d1088f90bf3e592135e32888833ba289f
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04003, Bailey Island",success,1367,4,1,1,0,1,short_page,"Architect, 04003, Bailey Island, ME, US",200,,ffc122ce6599f8af5e3f13645b0e4d6d9e481eac
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04017, Chebeague Island",success,1439,8,1,1,0,1,short_page,"Architect, 04017, Chebeague Island, ME, US",200,,ad7cd2bf0f2061765a3fc0bcefbbf4113b3aac68
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04010, Brownfield",success,1693,2,1,1,0,1,short_page,"Architect, 04010, Brownfield, ME, US",200,,e1a6375c9ce396e564ab4aa6d57ade3e15fbccc7
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04011, Brunswick",success,1800,3,0,1,0,1,short_page,"Architect, 04011, Brunswick, ME, US",200,,cb8be59dfe88b445ed64eb3137f572685db802ca
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"03908, South Berwick",success,1794,1,0,1,0,1,short_page,"Architect, 03908, South Berwick, ME, US",200,,de70b50932a8cc2464298ede72e53e97e0a2c12e
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"03904, Kittery",success,1978,19,6,2,0,2,short_page,"Architect, 03904, Kittery, ME, US",200,,613fd1afbeac3b209f3f8d0d624d10f4e32b2b78
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04015, Casco",success,2103,1,0,1,0,1,short_page,"Architect, 04015, Casco, ME, US",200,,4de73bea319f628daa130dea6de51b56a9169781
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"03902, Cape Neddick",success,2167,10,7,2,0,2,empty_page,"Architect, 03902, Cape Neddick, ME, US",200,,28a0d5c7f3fa7aa5a8b6de25188dc57b88ff9215
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"03901, Berwick",success,2334,10,2,2,0,2,empty_page,"Architect, 03901, Berwick, ME, US",200,,bc430a2b272d7b747943da279d8e614e88a164d1
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04030, Waterboro",success,968,1,0,1,0,1,short_page,"Architect, 04030, Waterboro, ME, US",200,,f2deb2138e6538db2fea6fa71bc4c940a0ec18c1
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04032, Freeport",success,995,1,0,1,0,1,short_page,"Architect, 04032, Freeport, ME, US",200,,52da4f787249cd3ff1129186aea47dd0a06bebd1
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04019, Cliff Island",success,2491,10,1,2,0,2,empty_page,"Architect, 04019, Cliff Island, ME, US",200,,3468bbd5628054d1e7579c82385928a529ee5989
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04008, Bowdoinham",success,2514,11,1,2,0,2,short_page,"Architect, 04008, Bowdoinham, ME, US",200,,b80539fe821ecefd108df424c7a7ac77e0e99b34
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04028, Cornish",success,1213,4,0,1,0,1,short_page,"Architect, 04028, Cornish, ME, US",200,,00ad8aaeb56e8f93dd4609e1247c11c700572c7d
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04002, Alfred",success,2557,11,4,2,0,2,short_page,"Architect, 04002, Alfred, ME, US",200,,6ffc65353cf2239e277b70c3cbcea9621700e505
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04024, East Baldwin",success,1563,1,0,1,0,1,short_page,"Architect, 04024, East Baldwin, ME, US",200,,a238baf15602c455708bfa438c0e8051909baf49
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04037, Fryeburg",success,1396,1,0,1,0,1,short_page,"Architect, 04037, Fryeburg, ME, US",200,,7187dfc8c053828481fcf36d357d311f07bc05c3
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04021, Cumberland Center",success,1810,9,3,1,0,1,short_page,"Architect, 04021, Cumberland Center, ME, US",200,,6593524b7c4e3d32d374b4a157ee6570ed8cbf81
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04009, Bridgton",success,3037,13,7,2,0,2,short_page,"Architect, 04009, Bridgton, ME, US",200,,a923303654699c0c1bd5e02185e2fe8883892c83
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04042, Hollis Center",success,1078,1,1,1,0,1,short_page,"Architect, 04042, Hollis Center, ME, US",200,,77fa526c192ea198c7c4a70d818093ced322a6c8
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"03907, Ogunquit",success,3246,10,2,2,0,2,empty_page,"Architect, 03907, Ogunquit, ME, US",200,,facc4ea30098322db941026f7235e11c49e0bf69
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04040, Harrison",success,1569,7,2,1,0,1,short_page,"Architect, 04040, Harrison, ME, US",200,,104c815044c49befba2812d599bcf7ff433a938a
20260717T074009Z_raw_zip_max_7dd6b89f,raw_zip_max,architect,ME,raw_zip,"04005, Biddeford",success,3341,10,7,2,0,2,empty_page,"Architect, 04005, Biddeford, ME, US",200,,7474116d6a1399eb9cb60c53fae4e8e6d5a7f337
