run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63048, Herculaneum",success,986,2,0,1,0,1,short_page,"Architect, 63048, Herculaneum, MO, US",200,,9ba5f4335bd2492f60a09b60b6b34d1b18a09ef2
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63091, Rosebud",success,1083,2,0,1,0,1,short_page,"Architect, 63091, Rosebud, MO, US",200,,05415a39d57f65c322c2c8c63c57d03ecadb2454
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63030, De Soto",success,1118,2,0,1,0,1,short_page,"Architect, 63030, De Soto, MO, US",200,,513d2edcbe9f496c17c46026d86b2a62824d24bc
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63065, Mapaville",success,1159,7,0,1,0,1,short_page,"Architect, 63065, Mapaville, MO, US",200,,c8f82b8eedef59a22b422bc6a33295fedccbc578
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63066, Morse Mill",success,1563,4,1,1,0,1,short_page,"Architect, 63066, Morse Mill, MO, US",200,,cc904b76aafece98c91b36c01051647d50ae38ee
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63012, Barnhart",success,2045,1,0,1,0,1,short_page,"Architect, 63012, Barnhart, MO, US",200,,7fedd8b53e25256208c2a2e77c959fca5418e3ff
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63070, Pevely",success,2154,18,4,2,0,2,short_page,"Architect, 63070, Pevely, MO, US",200,,0c9280378b5ee60b2ef797c07370dcf700a632f3
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63024, Manchester",success,2377,10,0,2,0,2,empty_page,"Architect, 63024, Manchester, MO, US",200,,53a83d0fd585452730c8438da831a85d3ec17b88
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63015, Catawissa",success,2484,10,1,2,0,2,empty_page,"Architect, 63015, Catawissa, MO, US",200,,5419355562b3f73184943287fe1d429214fc411e
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63084, Union",success,2554,10,8,2,0,2,empty_page,"Architect, 63084, Union, MO, US",200,,bc852f827387d4b09e7bd167a4cbe2155aae5af5
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63077, Saint Clair",success,2624,14,6,2,0,2,short_page,"Architect, 63077, Saint Clair, MO, US",200,,bdfbf23505f1465985c6a97a759002545474f959
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63051, House Springs",success,2664,10,1,2,0,2,empty_page,"Architect, 63051, House Springs, MO, US",200,,3b98f2b7ed2b23abdea4911c26d58f0136fc22c0
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63080, Sullivan",success,2881,11,6,2,0,2,short_page,"Architect, 63080, Sullivan, MO, US",200,,c57b58d67edca9c893a2543b6c84111c57940dcb
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63053, Kimmswick",success,3107,10,0,2,0,2,empty_page,"Architect, 63053, Kimmswick, MO, US",200,,8724092ecb3075d8929d36d9bf7e1b02e4e443aa
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63050, Hillsboro",success,3541,10,4,2,0,2,empty_page,"Architect, 63050, Hillsboro, MO, US",200,,375e8cce6956b895087269c051e50b2dc6bfc511
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63333, Bellflower",success,1368,0,0,1,0,1,empty_page,"Architect, 63333, Bellflower, MO, US",200,,92be05b4da41d6d7756d39b6865a4c809f20227a
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63336, Clarksville",success,1502,0,0,1,0,1,empty_page,"Architect, 63336, Clarksville, MO, US",200,,bc6780d40a3318a9ccfaffa1b755fbf42fb115a7
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63034, Florissant",success,4707,12,0,2,0,2,short_page,"Architect, 63034, Florissant, MO, US",200,,f845a108c7d620381bd17434026ff7c6992aa2fb
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63339, Curryville",success,1242,0,0,1,0,1,empty_page,"Architect, 63339, Curryville, MO, US",200,,1cbdca2eb2666da89ff5bf5ffbc930259e424864
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63169, Saint Louis",success,2466,16,0,2,0,2,short_page,"Architect, 63169, Saint Louis, MO, US",200,,b0bdc36e45a0fdbde4af2340d56fdca14841dec2
20260717T074223Z_raw_zip_max_da08c0d3,raw_zip_max,architect,MO,raw_zip,"63107, Saint Louis",success,5113,37,7,4,0,4,short_page,"Architect, 63107, Saint Louis, MO, US",200,,0098ea0b33951eb8148abda15bac060dd30ac412
