run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03040, Candia",success,972,0,0,1,0,1,empty_page,"Architect, 03040, Candia, NH, US",200,,546829bd014c90a62b87f786b4e9f2c4cf1f396e
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03041, East Derry",success,996,7,4,1,0,1,short_page,"Architect, 03041, East Derry, NH, US",200,,11b7dd9e9cd8576e4cd23472728209824bf05c4f
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03060, Nashua",success,1033,3,0,1,0,1,short_page,"Architect, 03060, Nashua, NH, US",200,,a1546a57849513c03d1e8429a7dfd1d6c7b9f2fd
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03031, Amherst",success,1063,4,1,1,0,1,short_page,"Architect, 03031, Amherst, NH, US",200,,42d5a54ecc4bf32071855a507c6c89c8c6b23739
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03061, Nashua",success,1099,2,0,1,0,1,short_page,"Architect, 03061, Nashua, NH, US",200,,d416fc158b07941d911391745b1cad2806d568af
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03053, Londonderry",success,1101,2,0,1,0,1,short_page,"Architect, 03053, Londonderry, NH, US",200,,fb041beffb77118e11c068a7be7c3bd0b12a1624
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03043, Francestown",success,1341,4,2,1,0,1,short_page,"Architect, 03043, Francestown, NH, US",200,,fa28d468fb9629d25b82508a5931271f1e9e056e
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03055, Milford",success,2042,10,4,2,0,2,empty_page,"Architect, 03055, Milford, NH, US",200,,ed549ed9dc603427c369f0e2904459ab872582ba
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03073, North Salem",success,1278,1,0,1,0,1,short_page,"Architect, 03073, North Salem, NH, US",200,,c8f3f6d9d590867f16711f23d2b2b7323d13447f
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03052, Hudson",success,2402,15,1,2,0,2,short_page,"Architect, 03052, Hudson, NH, US",200,,79095e9501b64b13515dd5785633791c465f7eea
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03071, New Ipswich",success,1408,2,0,1,0,1,short_page,"Architect, 03071, New Ipswich, NH, US",200,,1a4a280f9c38b4cd4869576ccb326e1cc9ba7dd6
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03037, Deerfield",success,2528,16,7,2,0,2,short_page,"Architect, 03037, Deerfield, NH, US",200,,46ab986b894975eacc4046228a5835ddb516e9bb
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03048, Greenville",success,2884,10,0,2,0,2,empty_page,"Architect, 03048, Greenville, NH, US",200,,1c7811f85bca8fa2e8de916e35a8098cb5463c78
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03033, Brookline",success,2863,10,2,2,0,2,empty_page,"Architect, 03033, Brookline, NH, US",200,,7dd49f445103fb4328180e2d2a29ce3a52733e3a
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03044, Fremont",success,2956,12,3,2,0,2,short_page,"Architect, 03044, Fremont, NH, US",200,,ea4dc883f7b1c3caa18654a144752d5936fce63f
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03051, Hudson",success,3277,15,5,2,0,2,short_page,"Architect, 03051, Hudson, NH, US",200,,0445fb8bc796a16cd588bc8296c4ff4b39302e5c
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03057, Milford",success,3277,10,0,2,0,2,empty_page,"Architect, 03057, Milford, NH, US",200,,6c8eda551c5703f28af11584672f4f21c44b4399
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03064, Nashua",success,2375,10,0,2,0,2,empty_page,"Architect, 03064, Nashua, NH, US",200,,f7c69ae784bf27d2ee6c1591e959f903f6a9dd52
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03047, Greenfield",success,3606,29,4,3,0,3,short_page,"Architect, 03047, Greenfield, NH, US",200,,8ecf09d70277731b00f20cb246785a596ddbbf48
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03086, Wilton",success,1397,9,2,1,0,1,short_page,"Architect, 03086, Wilton, NH, US",200,,8e7ac009829b1edd047fc2ed56e486b5223f8827
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03038, Derry",success,3933,20,10,3,0,3,repeated_page,"Architect, 03038, Derry, NH, US",200,,0f74c883384699ba55a7e3fdeda6863dde04fbc4
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03079, Salem",success,1605,9,0,1,0,1,short_page,"Architect, 03079, Salem, NH, US",200,,d50ab9efe32578b4fac042ea4472981063f036a8
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03063, Nashua",success,3212,10,2,2,0,2,empty_page,"Architect, 03063, Nashua, NH, US",200,,3fb545ea0ce43ff8917b3f8744b27199210483af
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03036, Chester",success,4544,30,8,4,0,4,empty_page,"Architect, 03036, Chester, NH, US",200,,f2f4f2df9f264ab3a56b05c946c89f92edd744ca
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03045, Goffstown",success,4590,25,5,3,0,3,short_page,"Architect, 03045, Goffstown, NH, US",200,,87b7175a440bf84342161eaac7ae34154036200c
20260717T074424Z_raw_zip_max_1b4dad2c,raw_zip_max,architect,NH,raw_zip,"03082, Lyndeborough",success,2231,10,3,2,0,2,empty_page,"Architect, 03082, Lyndeborough, NH, US",200,,e9ceb9258f513c861015b21c760e991c85390781
