run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75144, Kerens",success,996,8,3,1,0,1,short_page,"Architect, 75144, Kerens, TX, US",200,,4dac5b0a406d5c30aaa6701c3a1457c8b901a675
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75053, Grand Prairie",success,1060,9,1,1,0,1,short_page,"Architect, 75053, Grand Prairie, TX, US",200,,fb0b6d3c09ff64084429343523b177e413fea59e
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75105, Chatfield",success,1113,0,0,1,0,1,empty_page,"Architect, 75105, Chatfield, TX, US",200,,f2ee304de7ee48d9bf9c427699fbe1a1cb854586
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75085, Richardson",success,1139,6,0,1,0,1,short_page,"Architect, 75085, Richardson, TX, US",200,,48857005d6f9f65c7c75c0f216c3cd1d6256b03e
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75119, Ennis",success,1171,7,4,1,0,1,short_page,"Architect, 75119, Ennis, TX, US",200,,59eb09dadd5c458142cc946395e510cb189b82ea
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75109, Corsicana",success,1404,1,1,1,0,1,short_page,"Architect, 75109, Corsicana, TX, US",200,,891983949e935cd09b0556aa5e0ba4db23fb3de3
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75045, Garland",success,1478,4,0,1,0,1,short_page,"Architect, 75045, Garland, TX, US",200,,a950303cf7b656f7628e191773f66dc4ed1fc037
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75110, Corsicana",success,1506,1,0,1,0,1,short_page,"Architect, 75110, Corsicana, TX, US",200,,69f4d571151b732d35232086c7278898dbcaf400
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75148, Malakoff",success,1099,2,2,1,0,1,short_page,"Architect, 75148, Malakoff, TX, US",200,,210abcb45d753fe3457e3fff2bd33ade4f18a6f4
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75153, Powell",success,1197,0,0,1,0,1,empty_page,"Architect, 75153, Powell, TX, US",200,,b73112bcc35fd54b585d8c256530a6d0e8f4ab6f
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75049, Garland",success,2305,10,0,2,0,2,empty_page,"Architect, 75049, Garland, TX, US",200,,686f1510bb27a168603b8e95af71be86f6360ad7
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75058, Gunter",success,2512,10,9,2,0,2,empty_page,"Architect, 75058, Gunter, TX, US",200,,3ca8b2bf961fd02584d119f2c9a2cddd02723d76
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75151, Corsicana",success,1591,1,0,1,0,1,short_page,"Architect, 75151, Corsicana, TX, US",200,,5e3677a7a8cc527c45dfbf88d8d54227a1a72f8a
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"71854, Texarkana",success,2825,10,2,2,0,2,empty_page,"Architect, 71854, Texarkana, TX, US",200,,1a5cb07e94c15b858d73f0cf5769f6900bf5a520
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75123, Desoto",success,3035,10,2,2,0,2,empty_page,"Architect, 75123, Desoto, TX, US",200,,fef022b9aa89f94754f4c885ccc631ead0def72c
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75120, Ennis",success,3328,1,0,1,0,1,short_page,"Architect, 75120, Ennis, TX, US",200,,99ced1fed8e50c04f12a3a9ddbd29937ac4352a5
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75168, Waxahachie",success,1055,5,0,1,0,1,short_page,"Architect, 75168, Waxahachie, TX, US",200,,f850d355afbb6babccbdd96b681bcca247a0e502
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75141, Hutchins",success,3484,10,1,2,0,2,empty_page,"Architect, 75141, Hutchins, TX, US",200,,6adaec82ba150d5c4a2d10ca2e4e3a43ff672ab5
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75163, Trinidad",success,1498,4,0,1,0,1,short_page,"Architect, 75163, Trinidad, TX, US",200,,9ec85248e52897156f37727cd5afcbe5b8f28e8f
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75143, Kemp",success,3621,3,2,1,0,1,short_page,"Architect, 75143, Kemp, TX, US",200,,4872436d1a0660625c4b6a1f32c59135f19b2c5d
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75156, Mabank",success,2639,10,10,2,0,2,empty_page,"Architect, 75156, Mabank, TX, US",200,,58af18eaa38555cec20be6980113a8ed38fb2ff5
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75187, Mesquite",success,1054,1,0,1,0,1,short_page,"Architect, 75187, Mesquite, TX, US",200,,188abd5f9a31a7edfe94c9130a702897b3c30199
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75154, Red Oak",success,2876,16,4,2,0,2,short_page,"Architect, 75154, Red Oak, TX, US",200,,4f0337ff4c1e4d1f14dd092b1eec8083cea3003b
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75147, Mabank",success,4001,10,0,2,0,2,empty_page,"Architect, 75147, Mabank, TX, US",200,,b0f16e9bcc3e85c8ecf9b609ec01020dec7e4cfb
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75185, Mesquite",success,1507,1,0,1,0,1,short_page,"Architect, 75185, Mesquite, TX, US",200,,a08449e5e175560da949ff1d2b6b848ce0aadf46
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75169, Wills Point",success,1747,9,6,1,0,1,short_page,"Architect, 75169, Wills Point, TX, US",200,,979340612dc2952aad645de387c6bc5c4a9661e1
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75161, Terrell",success,2816,10,8,2,0,2,empty_page,"Architect, 75161, Terrell, TX, US",200,,20f13cb7934d8375ab4a06c673149143faf8d647
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75166, Lavon",success,2367,12,4,2,0,2,short_page,"Architect, 75166, Lavon, TX, US",200,,a9b2486ad7cb94c5b719d2fa2132ecdb6fd406f0
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75042, Garland",success,4932,30,3,4,0,4,empty_page,"Architect, 75042, Garland, TX, US",200,,5706ccdce1951358bc0e47013fd917dcbcf59ad0
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75261, Dfw Airport",success,1280,5,2,1,0,1,short_page,"Architect, 75261, Dfw Airport, TX, US",200,,fcafa159d040fbd1014da0282c53504714795eb0
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75241, Dallas",success,2883,18,1,2,0,2,short_page,"Architect, 75241, Dallas, TX, US",200,,7e881ccfbcfee6348ef80cfe2a53d9825d025c39
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75089, Rowlett",success,6767,38,14,4,0,4,short_page,"Architect, 75089, Rowlett, TX, US",200,,6bdafab0a7a976c9e92f31810e21e62cf9f29d62
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75262, Dallas",success,2128,17,0,2,0,2,short_page,"Architect, 75262, Dallas, TX, US",200,,d0aa12cd653d5fb3e9628039063d2fe2c3477a51
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75249, Dallas",success,2680,19,0,2,0,2,short_page,"Architect, 75249, Dallas, TX, US",200,,0069aa447111fa1fc6dda6508e8933b114d51bba
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75092, Sherman",success,7010,30,12,4,0,4,empty_page,"Architect, 75092, Sherman, TX, US",200,,8b9b796e16e00d71461f98357c71337597bbd9f1
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75160, Terrell",success,5821,30,11,4,0,4,empty_page,"Architect, 75160, Terrell, TX, US",200,,23a96001480be75b86b0de9c2032233d1ecf2cc0
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75189, Royse City",success,4466,20,14,3,0,3,empty_page,"Architect, 75189, Royse City, TX, US",200,,b5e5be84083eaf549f68f2eb2195b4ca68cf536e
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75087, Rockwall",success,7516,40,9,5,0,5,no_new_businesses,"Architect, 75087, Rockwall, TX, US",200,,4358153f3df1cbf3220914258de4866c6b5bdac1
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75237, Dallas",success,3759,24,0,3,0,3,short_page,"Architect, 75237, Dallas, TX, US",200,,eecd78a7fff967d07041414e71f75ab4c07a5bf7
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75242, Dallas",success,3961,28,1,3,0,3,short_page,"Architect, 75242, Dallas, TX, US",200,,3c59fc2055f985314f15e91123101144df5ce250
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75061, Irving",success,8060,50,10,6,0,6,empty_page,"Architect, 75061, Irving, TX, US",200,,02db64752c997403a8c29b4f7863d435db955473
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75210, Dallas",success,4712,32,0,4,0,4,short_page,"Architect, 75210, Dallas, TX, US",200,,b0127ee0c64dba9a1db3b1e2b6c46ee576812176
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75082, Richardson",success,8216,50,10,6,0,6,empty_page,"Architect, 75082, Richardson, TX, US",200,,cd28191666872e41d0431769a435017c9d73af77
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75222, Dallas",success,4607,20,0,3,0,3,no_new_businesses,"Architect, 75222, Dallas, TX, US",200,,c40a9c688346690c6cea0b06bd87e9358a6ac716
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75052, Grand Prairie",success,8328,40,5,5,0,5,repeated_page,"Architect, 75052, Grand Prairie, TX, US",200,,c5fd30172bd5eb714e86c4363e512337a811e5f6
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75246, Dallas",success,4514,20,3,3,0,3,repeated_page,"Architect, 75246, Dallas, TX, US",200,,503f42710d99def55622a8c9d4c0b79df89eef6f
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75264, Dallas",success,3183,19,0,2,0,2,short_page,"Architect, 75264, Dallas, TX, US",200,,697fe2d001c6b02764ed5b758b678ed42d265b02
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75028, Flower Mound",success,8830,40,6,5,0,5,repeated_page,"Architect, 75028, Flower Mound, TX, US",200,,627306e01a61dc7c7e4c0ffc7238d4ffc9d58686
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75253, Dallas",success,4561,20,4,3,0,3,repeated_page,"Architect, 75253, Dallas, TX, US",200,,f890e32ac62ea340871642e6b0e7f2eed4eec89f
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75159, Dallas",success,8003,47,4,5,0,5,short_page,"Architect, 75159, Dallas, TX, US",200,,6dfcbf0b6b8b30116409b369748b95d793f2ba44
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75313, Dallas",success,2798,19,0,2,0,2,short_page,"Architect, 75313, Dallas, TX, US",200,,f4f5a56492a867781d052d1e6b8fb0589d9dc8be
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75403, Greenville",success,979,1,1,1,0,1,short_page,"Architect, 75403, Greenville, TX, US",200,,2105cf68752456e8f6e93b78802182fb8431d34b
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75404, Greenville",success,1048,1,0,1,0,1,short_page,"Architect, 75404, Greenville, TX, US",200,,f3657f4cdb90f5c44acb30285c02b40af0ded9c5
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75339, Dallas",success,2619,10,0,2,0,2,empty_page,"Architect, 75339, Dallas, TX, US",200,,36d1d9e669d6f10fb5cb32fae073db2dd56f1757
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75062, Irving",success,9947,50,5,6,0,6,empty_page,"Architect, 75062, Irving, TX, US",200,,b2c7dd8364afcca8028f0974e085b1dd2a13f930
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75315, Dallas",success,2995,15,0,2,0,2,short_page,"Architect, 75315, Dallas, TX, US",200,,36c0855eda54928f9eff327e34e5e023275fdf04
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75356, Dallas",success,2773,13,0,2,0,2,short_page,"Architect, 75356, Dallas, TX, US",200,,baeefa15716f63e3290344e42f957d12e1f62740
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75360, Dallas",success,2334,10,0,2,0,2,empty_page,"Architect, 75360, Dallas, TX, US",200,,9ff5ba4c9d58bf2b1ed516af61931c6c68b59288
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75270, Dallas",success,3728,19,1,2,0,2,short_page,"Architect, 75270, Dallas, TX, US",200,,878326b848094eb71e003ce7c33306ce2286da67
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75411, Arthur City",success,953,0,0,1,0,1,empty_page,"Architect, 75411, Arthur City, TX, US",200,,74178fbf3c50cb5df5f345cd2b46dcf9c62e9db1
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75412, Bagwell",success,873,0,0,1,0,1,empty_page,"Architect, 75412, Bagwell, TX, US",200,,f2d7bbc6665efa05df758effea92678bf3236586
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75266, Dallas",success,4041,28,0,3,0,3,short_page,"Architect, 75266, Dallas, TX, US",200,,1850ad02ad822cd91feb49c69321e0d51fd5fb3d
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75342, Dallas",success,3378,11,0,2,0,2,short_page,"Architect, 75342, Dallas, TX, US",200,,8c639016138c93443ce9e8a9a6e0724e9a2bf92c
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75416, Blossom",success,963,0,0,1,0,1,empty_page,"Architect, 75416, Blossom, TX, US",200,,5f32e2842a97eff195ee6bacd0fdf0030984f01b
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75414, Bells",success,1130,2,2,1,0,1,short_page,"Architect, 75414, Bells, TX, US",200,,7048b358470ebc3c7f7a8117727d5c9161a8afd5
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75413, Bailey",success,1316,0,0,1,0,1,empty_page,"Architect, 75413, Bailey, TX, US",200,,64806addae6abcbd6b8784b827954d1d9ef435f5
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75263, Dallas",success,6731,39,0,4,0,4,short_page,"Architect, 75263, Dallas, TX, US",200,,3c85999435f3f4a4bbc34758fdd76a28f1d0516c
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75415, Ben Franklin",success,1794,0,0,1,0,1,empty_page,"Architect, 75415, Ben Franklin, TX, US",200,,80729b65a940dba511e8f60b0a1d00cd8b390c1c
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75421, Brookston",success,1354,0,0,1,0,1,empty_page,"Architect, 75421, Brookston, TX, US",200,,a873fc242f7589d9a47fcd9baacae83457bf1345
20260717T075103Z_raw_zip_max_c96f2d77,raw_zip_max,architect,TX,raw_zip,"75423, Celeste",success,1237,6,2,1,0,1,short_page,"Architect, 75423, Celeste, TX, US",200,,bafcd9f2932b13b4bc9ee76deee23b048c06a39f
