run_id,mode,keyword_id,state,seed_type,seed_value,status,latency_ms,result_count,new_unique_businesses,api_request_count,retry_count,estimated_credit_usage,pagination_stop_reason,query_text,http_status,error_message,fingerprint
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53003, Ashippun",success,1320,0,0,1,0,1,empty_page,"Architect, 53003, Ashippun, WI, US",200,,03c353836a907f9c038450978208cc704a245e58
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53024, Grafton",success,1334,8,3,1,0,1,short_page,"Architect, 53024, Grafton, WI, US",200,,1033c24129356487f7607a3baae5cb6a8b6cbe9e
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53032, Horicon",success,1328,2,2,1,0,1,short_page,"Architect, 53032, Horicon, WI, US",200,,4f92b15f20e423a16c1777b1269e3f658b91e327
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53021, Fredonia",success,1336,2,1,1,0,1,short_page,"Architect, 53021, Fredonia, WI, US",200,,c5d64ecf6ca1e8af57ac6646aef98ed630a14804
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53048, Lomira",success,1366,0,0,1,0,1,empty_page,"Architect, 53048, Lomira, WI, US",200,,349b0a9bb0bff097d120e305f867ee56dd25b28c
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53051, Menomonee Falls",success,1360,3,1,1,0,1,short_page,"Architect, 53051, Menomonee Falls, WI, US",200,,9707875985e1417936aae78edcbaa0efb3b361cb
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53001, Adell",success,1493,0,0,1,0,1,empty_page,"Architect, 53001, Adell, WI, US",200,,93da929d276590ca3f5804a13013c86f55e238f0
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53098, Watertown",success,1533,1,0,1,0,1,short_page,"Architect, 53098, Watertown, WI, US",200,,0a97b3453c53113fc1fd15060d353a534136d644
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53059, Neosho",success,1520,1,1,1,0,1,short_page,"Architect, 53059, Neosho, WI, US",200,,4836f85567dc9fecdd3ee49388d2ff5f6bf613bb
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53069, Oconomowoc",success,1622,3,0,1,0,1,short_page,"Architect, 53069, Oconomowoc, WI, US",200,,da894a9d67d0c3e28979ce3fd1c6fece80e74d62
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53031, Oostburg",success,1823,3,0,1,0,1,short_page,"Architect, 53031, Oostburg, WI, US",200,,a8b891da3d7acd9ec99b86cfcdcb5aeebb353305
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53006, Brownsville",success,2080,1,1,1,0,1,short_page,"Architect, 53006, Brownsville, WI, US",200,,d4a72d5a6cd4aa9ffbfedf35a5477a136456fe3f
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53052, Menomonee Falls",success,2352,10,0,2,0,2,empty_page,"Architect, 53052, Menomonee Falls, WI, US",200,,d4e5dab4a633b935486137944521a3257547d346
20260717T075505Z_raw_zip_max_7b58b7a4,raw_zip_max,architect,WI,raw_zip,"53042, Kiel",success,2362,10,5,2,0,2,empty_page,"Architect, 53042, Kiel, WI, US",200,,d53b66d61da81ce545acc91c7daa6e36a8a56019
